,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
145,tecoanapa,5,MX,1554428460,69,16.99,-99.26,82.4,10.29
146,namibe,0,AO,1554432553,100,-15.19,12.15,77.9,7.4
147,arona,75,IT,1554432544,81,45.76,8.56,46.99,4.7
148,tautira,20,PF,1554432146,70,-17.73,-149.15,87.8,11.41
149,altamira,68,BR,1554432554,93,-3.2,-52.21,74.66,4.27
150,yilan,75,TW,1554432548,78,24.75,121.75,82,8.05
151,adrar,20,DZ,1554429600,72,27.87,-0.29,62.6,18.34
152,kodiak,90,US,1554432525,54,39.95,-94.76,53.6,6.93
153,bandarbeyla,8,SO,1554432554,100,9.49,50.81,79.79,4.05
154,fayaoue,56,NC,1554432555,99,-20.65,166.53,80.78,14.9
155,bom jesus,20,BR,1554429600,94,-5.99,-35.58,78.8,3.36
156,shingu,75,JP,1554429600,55,33.72,135.99,64.4,8.05
157,kilis,75,TR,1554432552,93,36.72,37.12,48.2,6.93
158,northam,75,GB,1554432531,93,51.04,-4.21,45,8.05
159,mackenzie,75,CA,1554429600,48,55.34,-123.09,44.6,3.36
160,thai nguyen,75,VN,1554429600,69,21.59,105.84,75.2,11.41
161,alice springs,0,AU,1554429600,27,-23.7,133.88,86,4.7
162,norrtalje,0,SE,1554432483,64,59.76,18.7,39.2,10.29
163,jiazi,75,CN,1554429600,78,19.61,110.49,82.4,8.95
164,constitucion,40,MX,1554428580,12,23.99,-104.67,71.6,12.75
165,palauig,12,PH,1554432557,74,15.44,119.9,85.1,1.48
166,nalut,88,LY,1554432557,45,31.86,10.98,67.64,20.71
167,haines junction,80,CA,1554432557,73,60.75,-137.51,25.07,2.15
168,masallatah,92,LY,1554432557,58,32.62,14,65.93,6.73
169,bambous virieux,40,MU,1554432542,88,-20.34,57.76,75.99,4.7
170,talakan,0,RU,1554432559,37,50.29,130.28,44.78,6.06
171,fort nelson,75,CA,1554429600,67,58.81,-122.69,17.6,4.7
172,rocha,56,UY,1554432559,84,-34.48,-54.34,61.61,15.68
173,lodhikheda,40,IN,1554429600,29,21.58,78.83,87.8,5.82
174,cap malheureux,40,MU,1554432542,88,-19.98,57.61,75.99,4.7
175,mlonggo,20,ID,1554429600,66,-6.53,110.7,87.8,4.7
176,kahului,20,US,1554432352,54,20.89,-156.47,82.4,18.34
177,ahuimanu,40,US,1554432385,73,21.44,-157.84,84.2,6.93
178,port elizabeth,1,US,1554432505,45,39.31,-74.98,50,3.38
179,limbazi,0,LV,1554432293,61,57.51,24.72,35.01,8.75
180,wawa,0,NG,1554432560,63,9.9,4.41,78.8,13.67
181,puerto princesa,20,PH,1554429600,62,9.74,118.73,86,4.7
182,atambua,100,ID,1554432560,100,-9.11,124.89,77.54,5.73
183,channel-port aux basques,88,CA,1554432561,91,47.57,-59.14,28.58,41.85
184,bredasdorp,88,ZA,1554429600,81,-34.53,20.04,51.8,6.93
185,sayat,75,TM,1554429600,82,38.78,63.88,57.2,4.7
186,along,8,IN,1554432561,64,28.17,94.8,65.3,1.14
187,upernavik,44,GL,1554432561,92,72.79,-56.15,10.58,9.98
188,kantilo,40,IN,1554429600,100,20.35,85.18,80.6,4.7
189,lianran,36,CN,1554432423,93,24.92,102.47,69.01,2.26
190,basti,0,IN,1554432562,47,26.79,82.72,83.03,11.32
191,noumea,0,NC,1554431400,55,-22.28,166.46,86,17.22
192,yulara,0,AU,1554429600,17,-25.24,130.99,89.6,8.05
193,meridian,90,US,1554430680,87,32.36,-88.7,60.8,9.17
194,tiksi,0,RU,1554432563,75,71.64,128.87,32.27,6.29
195,tocopilla,0,CL,1554432563,100,-22.09,-70.2,61.07,3.6
196,cape canaveral,1,US,1554432476,77,28.41,-80.6,73.99,6.93
197,palmares do sul,92,BR,1554431462,91,-30.26,-50.51,78.01,1.01
198,portland,90,US,1554432297,67,45.52,-122.67,57.2,3.36
199,gijon,80,ES,1554432245,100,43.54,-5.66,52,4.7
200,sulangan,0,PH,1554432563,100,11.14,123.72,82.04,11.99
201,buraydah,0,SA,1554429600,46,26.33,43.97,69.8,11.41
202,price,40,US,1554432403,37,39.6,-110.81,55.4,8.05
203,tefe,8,BR,1554432564,88,-3.35,-64.71,79.16,3.27
204,torbay,20,CA,1554432398,74,47.66,-52.73,32,23.04
205,poum,68,MK,1554432564,78,41.28,20.71,39.2,2.26
206,ayan,0,TR,1554432564,74,40.67,33.6,26.42,1.92
207,salalah,40,OM,1554429000,78,17.01,54.1,77,2.24
208,axim,92,GH,1554432565,100,4.87,-2.24,82.31,12.66
209,clyde river,1,CA,1554429600,83,70.47,-68.59,-7.61,5.82
210,longyearbyen,90,NO,1554429000,86,78.22,15.63,28.4,39.15
211,teguise,80,ES,1554429600,77,29.06,-13.56,60.8,13.87
212,clonakilty,0,IE,1554431400,86,51.62,-8.87,33.8,3.36
213,carutapera,92,BR,1554432566,94,-1.2,-46.02,76.64,3.71
214,lasa,20,CY,1554432304,87,34.92,32.53,53.6,3.36
215,savannah bight,76,HN,1554432566,92,16.45,-85.85,81.68,15.9
216,curillo,64,CO,1554432566,90,1.03,-75.92,72.14,2.93
217,dharchula,0,IN,1554432566,72,29.85,80.53,42.26,1.81
218,bouafle,0,FR,1554432553,80,48.96,1.9,41,5.82
219,baculin,68,PH,1554432567,75,7.45,126.58,83.3,9.64
220,las palmas,40,PE,1554429600,290,-6.53,-76.35,62.6,2.15
221,nyurba,12,RU,1554432568,62,63.29,118.35,38.48,3.71
222,arman,48,RU,1554432568,63,59.7,150.17,38.21,10.2
223,tasiilaq,8,GL,1554429000,79,65.61,-37.64,24.8,2.24
224,dingle,0,PH,1554432568,54,11,122.67,89.06,10.2
225,ziarat,0,PK,1554432568,62,30.38,67.73,50.81,2.48
226,eidfjord,80,NO,1554432150,87,60.47,7.07,28,2.04
227,banjarmasin,40,ID,1554429600,83,-3.32,114.59,84.2,5.82
228,esperance,20,TT,1554432431,78,10.24,-61.45,77,6.93
229,honningsvag,48,NO,1554432569,98,70.98,25.97,27.77,7.96
230,taree,40,AU,1554432304,64,-31.91,152.46,78.01,8.05
231,sur,24,OM,1554432397,78,22.57,59.53,81.41,4.72
232,ilulissat,32,GL,1554429000,49,69.22,-51.1,24.8,21.92
233,maracacume,88,BR,1554432570,95,-2.04,-45.96,73.31,2.71
234,san patricio,92,PY,1554432547,97,-26.98,-56.83,70.25,7.4
235,bilibino,0,RU,1554432570,67,68.06,166.44,34.97,3.04
236,sinop,92,TR,1554432570,98,42.03,35.15,47.21,12.66
237,flinders,75,AU,1554432545,60,-34.58,150.85,71.01,5.82
238,ponta do sol,56,BR,1554432571,95,-20.63,-46,66.11,2.93
239,ancud,20,CL,1554429600,100,-41.87,-73.83,44.6,3.36
240,mwinilunga,0,ZM,1554432571,91,-11.73,24.43,61.61,3.15
241,yar-sale,68,RU,1554432571,89,66.83,70.83,29.03,18.14
242,thayetmyo,20,MM,1554432390,41,19.32,95.18,88.7,4.5
243,muros,75,ES,1554432535,93,42.77,-9.06,44.01,5.82
244,eregli,44,TR,1554432571,84,37.51,34.05,31.64,2.93
245,mangrol,0,IN,1554432572,31,25.33,76.51,83.39,6.73
246,ouesso,0,CG,1554432572,98,1.61,16.05,72.68,3.27
247,huarmey,12,PE,1554432572,94,-10.07,-78.15,63.14,2.59
248,kushiro,75,JP,1554429600,51,43.11,144.15,39.2,12.75
249,nioki,56,CD,1554432572,98,-2.72,17.69,74.39,3.6
250,ampanihy,0,MG,1554432573,87,-24.69,44.75,65.03,3.15
251,alofi,75,NU,1554429600,74,-19.06,-169.92,84.2,11.41
252,college,1,US,1554432524,49,64.86,-147.8,37.4,16.11
253,pontianak,20,ID,1554429600,79,-0.02,109.34,84.2,4.7
254,hovd,75,NO,1554432559,75,63.83,10.7,44.6,11.41
255,murakami,75,JP,1554430140,29,38.29,139.58,62.6,19.46
256,tari,0,NG,1554432575,56,12.41,4.49,70.7,2.71
257,provideniya,0,RU,1554429600,58,64.42,-173.23,28.4,13.42
258,mount isa,0,AU,1554429600,40,-20.73,139.49,87.8,11.41
259,chongwe,0,ZM,1554429600,72,-15.33,28.68,62.6,4.7
260,suluq,88,LY,1554432575,46,31.67,20.25,61.07,15.35
261,champerico,40,MX,1554429000,42,16.38,-93.6,86,10.29
262,vanimo,24,PG,1554432576,100,-2.67,141.3,81.23,5.39
263,trapani,40,IT,1554432512,87,38.02,12.54,57.99,4.7
264,otane,92,NZ,1554431177,83,-39.89,176.62,57,5.99
265,tubinskiy,90,RU,1554429600,92,52.89,58.22,32,8.95
266,owando,12,CG,1554432577,95,-0.49,15.91,71.96,2.37
267,alihe,48,CN,1554432577,34,50.57,123.73,40.01,5.39
268,mutum,8,BR,1554432577,91,-19.82,-41.44,69.26,4.61
269,nakhon thai,8,TH,1554429600,65,17.1,100.84,87.8,2.24
270,hattiesburg,90,US,1554432570,93,31.33,-89.29,60.8,5.82
271,rabo de peixe,40,PT,1554432563,62,37.8,-25.58,55,14.99
272,pacific grove,90,US,1554432489,82,36.62,-121.92,59,6.93
273,santa cruz,90,US,1554432253,87,36.97,-122.03,59,6.93
274,chakia,0,IN,1554432579,48,26.42,85.05,83.12,16.24
275,neuquen,0,AR,1554429600,44,-38.95,-68.06,60.8,4.7
276,biankouma,48,CI,1554432580,96,7.74,-7.61,70.43,3.38
277,olinda,75,EC,1554432396,83,-2.03,-79.75,80.6,6.93
278,teocaltiche,40,MX,1554428400,13,21.43,-102.58,69.8,5.82
279,luderitz,0,NA,1554432580,79,-26.65,15.16,61.07,19.48
280,mecca,8,SA,1554432574,72,21.43,39.83,59.72,1.7
281,lixourion,92,GR,1554432385,83,38.2,20.43,54,10
282,pevek,44,RU,1554432581,89,69.7,170.27,19.58,4.16
283,itarema,92,BR,1554432581,100,-2.92,-39.92,72.95,5.5
284,kruisfontein,76,ZA,1554432581,84,-34,24.73,63.05,10.65
285,kondol,88,RU,1554432581,96,52.82,45.06,32.63,7.96
286,manaure,0,CO,1554432581,92,11.78,-72.45,79.34,20.38
287,gorontalo,0,ID,1554432479,67,0.54,123.06,86.81,2.15
288,dunmore east,24,IE,1554432476,89,52.15,-6.99,36,6.17
289,lavrentiya,0,RU,1554432582,89,65.58,-170.99,23.81,16.13
290,ruteng,8,ID,1554432582,81,-8.61,120.46,82.94,2.37
291,laguna,75,MX,1554428460,29,27.52,-110.01,75.2,2.24
292,hillsborough,90,US,1554432571,87,37.57,-122.38,59,12.75
293,tonder,32,DK,1554432551,93,54.93,8.87,42.8,2.24
294,williams lake,75,CA,1554429600,53,52.13,-122.14,50,10.29
295,the valley,20,AI,1554432418,73,18.22,-63.06,77,13.87
296,hamilton,75,CA,1554432401,59,43.26,-79.87,37,8.05
297,kibre mengist,0,ET,1554432584,92,5.87,38.99,51.89,2.15
298,jumla,0,NP,1554432584,81,29.28,82.18,37.31,2.04
299,byron bay,40,AU,1554432491,53,-28.65,153.62,82,11.41
300,waipawa,76,NZ,1554431177,83,-39.94,176.59,57,5.99
301,saquarema,0,BR,1554429600,83,-22.93,-42.51,80.6,3.36
302,kavaratti,0,IN,1554432584,100,10.57,72.64,83.66,3.38
303,emerald,40,AU,1554432280,54,-23.53,148.16,80.6,10.29
304,kudahuvadhoo,0,MV,1554432585,100,2.67,72.89,83.03,5.84
305,paita,20,PE,1554432585,83,-5.09,-81.11,72.77,4.5
306,waddan,92,LY,1554432585,45,29.16,16.14,66.11,11.32
307,veraval,0,FR,1554432491,79,49.65,0.71,44.6,10.29
308,saint george,40,GR,1554432212,87,39.45,22.34,51.01,2.37
309,zyryanka,12,RU,1554432586,76,65.73,150.89,25.61,3.6
310,ilo,0,PE,1554432586,94,-17.65,-71.34,61.61,3.15
311,castro,20,CL,1554429600,100,-42.48,-73.76,44.6,3.36
312,petropavlovsk-kamchatskiy,75,RU,1554429600,69,53.05,158.65,39.2,6.71
313,brighton,0,GB,1554432318,81,50.82,-0.14,48,6.93
314,sinnamary,100,GF,1554432587,95,5.38,-52.96,79.97,10.98
315,espanola,24,CA,1554432526,70,46.27,-81.77,26.01,3.04
316,henties bay,0,NA,1554429729,93,-22.12,14.28,57.99,4
317,talaya,0,RU,1554432322,37,55.79,84.89,35.01,11.18
318,kangshan,24,CN,1554429600,69,24.68,117.65,73.4,8.95
319,sitka,0,US,1554432410,71,37.17,-99.65,57,7
320,sabang,32,PH,1554432588,90,13.72,123.58,81.86,4.94
321,fukue,0,JP,1554432466,47,35.03,136.69,70,3.36
322,ribnica,90,SI,1554432558,71,45.74,14.73,55.4,10.29
323,gobo,75,JP,1554432422,55,33.89,135.15,68,8.05
324,banda aceh,8,ID,1554432589,91,5.56,95.32,82.85,2.15
325,amahai,8,ID,1554432589,97,-3.31,129,84.92,7.4
326,taoudenni,68,ML,1554432589,41,22.68,-3.98,72.86,13.89
327,port-gentil,64,GA,1554432589,96,-0.72,8.78,82.58,7.96
328,north battleford,20,CA,1554432530,79,52.78,-108.3,33.01,12.75
329,hearst,12,CA,1554432590,62,49.69,-83.67,21.2,6.62
330,tuy hoa,24,VN,1554432497,74,13.08,109.3,84.65,4.38
331,dzilam gonzalez,0,MX,1554432590,46,21.28,-88.93,81.23,8.19
332,kutum,0,SD,1554432590,24,14.2,24.66,57.74,8.52
333,anito,12,PH,1554432590,98,12.45,125.29,81.32,11.32
334,carauari,48,BR,1554432591,91,-4.88,-66.9,77.81,2.59
335,beringovskiy,80,RU,1554432591,100,63.05,179.32,26.69,11.21
336,baherden,8,TM,1554432591,93,38.44,57.43,50.09,3.15
337,tyup,0,KG,1554432591,87,42.73,78.36,38.03,2.15
338,boda,8,BD,1554432591,58,26.2,88.56,77.36,14.23
339,jardim,0,BR,1554432591,69,-21.48,-56.15,79.16,10.2
340,klaksvik,0,FO,1554430800,75,62.23,-6.59,41,13.87
341,oriximina,48,BR,1554432592,87,-1.77,-55.87,77.81,4.72
342,edd,64,ER,1554432592,94,13.93,41.69,73.4,3.49
343,saint-augustin,0,FR,1554432502,65,44.83,-0.61,48.2,11.41
344,porto novo,0,BR,1554429600,83,-23.68,-45.44,71.6,2.24
345,teya,5,MX,1554432339,33,21.05,-89.07,91.4,17.22
346,kununurra,40,AU,1554429600,41,-15.77,128.74,95,17.22
347,kendari,48,ID,1554432593,90,-3.99,122.52,84.83,1.92
348,guiberoua,32,CI,1554432593,93,6.24,-6.17,73.49,2.59
349,shelburne,1,CA,1554432306,73,44.08,-80.2,34,9.42
350,quatre cocos,40,MU,1554432542,88,-20.21,57.76,75.99,4.7
351,ornskoldsvik,0,SE,1554430800,68,63.29,18.72,33.8,6.93
352,saskylakh,0,RU,1554432520,90,71.97,114.09,16.7,8.75
353,riyadh,0,SA,1554429600,56,24.63,46.72,69.8,3.36
354,mercedes,8,UY,1554432594,59,-33.25,-58.03,63.68,19.37
355,suratgarh,32,IN,1554432594,39,29.32,73.9,84.29,8.08
356,komsomolskiy,76,RU,1554432594,97,67.55,63.78,30.2,18.81
357,harer,1,US,1554432508,93,42.19,-111.17,54,4.7
358,le port,68,FR,1554432569,78,42.87,1.37,42.01,2.04
359,hermosillo,0,MX,1554432562,17,29.09,-110.96,80.01,5.39
360,zhongshu,12,CN,1554432596,65,24.52,103.77,65.21,3.6
361,bataipora,0,BR,1554432596,82,-22.3,-53.27,75.02,6.96
362,dukat,36,RS,1554432496,68,42.44,22.31,48,3
363,egvekinot,0,RU,1554432596,87,66.32,-179.17,22.1,3.27
364,mindelo,40,PT,1554432424,81,41.31,-8.72,50,2.24
365,tosya,0,TR,1554432426,80,41.02,34.04,27.05,2.37
366,terney,88,RU,1554432597,94,45.05,136.61,33.53,18.03
367,bonavista,68,CA,1554432398,75,48.65,-53.11,30.99,15.01
368,hay river,20,CA,1554429600,43,60.82,-115.79,12.2,3.15
369,sagua la grande,20,CU,1554429000,78,22.81,-80.07,75.2,9.17
370,erzin,75,TR,1554432491,81,36.95,36.2,57.2,5.82
371,talcahuano,0,CL,1554429600,81,-36.72,-73.12,51.8,6.93
372,leningradskiy,20,RU,1554432598,100,69.38,178.42,14.36,3.83
373,nanortalik,88,GL,1554432598,92,60.14,-45.24,31.64,40.73
374,harlingen,1,US,1554432508,83,26.19,-97.7,77,11.88
375,barcelona,20,ES,1554432577,75,41.38,2.18,51.01,3.36
376,omutninsk,0,RU,1554432598,59,58.67,52.18,12.65,4.27
377,alekseyevsk,76,RU,1554432599,69,57.84,108.35,27.95,4.5
378,saint anthony,90,US,1554432415,87,43.97,-111.68,50,2.71
379,general teran,0,MX,1554432599,69,25.27,-99.68,67.64,2.15
380,el retorno,36,CO,1554432599,56,2.33,-72.63,80.33,3.27
381,jizan,0,SA,1554429600,74,16.89,42.56,82.4,3.6
382,kralupy nad vltavou,0,CZ,1554432445,86,50.24,14.31,48.99,5.82
383,pangnirtung,24,CA,1554432600,56,66.15,-65.72,-6.16,5.73
384,stromness,75,CA,1554432599,59,42.87,-79.55,37,8.05
385,albanel,20,CA,1554432433,44,48.88,-72.44,19.4,17.22
386,kosa,0,RU,1554432600,77,59.94,54.99,20.3,3.6
387,qasigiannguit,32,GL,1554429000,49,68.82,-51.19,24.8,21.92
388,soyo,92,AO,1554432601,88,-6.13,12.37,81.86,3.15
389,neenah,90,US,1554432432,47,44.19,-88.46,37.99,5.82
390,mezen,92,RU,1554432601,96,65.85,44.24,30.47,6.73
391,hoquiam,90,US,1554432517,76,46.98,-123.89,55.99,2.93
